================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/ablation/05_arch/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1517.0s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9182 RMSE=1.1753 Spearman=0.8864 N=66543
  PCC  | mean=0.6577  median=0.6773  weighted_mean=0.6567  std=0.1186
  RMSE | mean=1.1103  median=1.1158  weighted_mean=1.1138
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8749  RMSE=1.3503  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
126  126                 399   0.4937    0.5918   1.6497   1.1083         -
127  127                 399   0.7640    0.7347   0.7098   0.5351         -
128  128                 323   0.8026    0.7917   0.8570   0.6693         -
129  129                 395   0.6671    0.6256   1.2794   1.0191         -
130  130                 324   0.6395    0.6424   1.1993   0.9563         -
131  131                 400   0.6942    0.6502   0.7521   0.5977         -
132  132                 399   0.6990    0.6910   1.4396   1.1446         -
133  133                 382   0.7040    0.7012   1.3200   1.0950         -
134  134                 403   0.6382    0.5648   0.8926   0.7187         -
135  135                 382   0.6894    0.6509   1.1788   0.9495         -
136  136                 324   0.5104    0.4958   1.2847   1.0220         -
137  137                 401   0.6599    0.6390   1.4380   0.9371         -
138  138                 377   0.4366    0.4625   2.1774   1.5317         -
139  139                 396   0.7585    0.7356   1.0246   0.8227         -
140  140                 403   0.5769    0.5803   1.3767   1.0639         -
141  141                 402   0.4932    0.4565   1.3318   1.0040         -
142  142                 403   0.6498    0.6368   1.2937   1.0336         -
143  143                 110   0.4559    0.3401   0.8648   0.6844         -
144  144                 401   0.4827    0.4625   1.2165   0.9591         -
145  145                 382   0.6111    0.6042   1.3793   1.1992         -
146  146                 380   0.7089    0.6773   0.9077   0.6902         -
147  147                  77   0.7013    0.6176   0.7294   0.5920         -
148  148                 401   0.6590    0.5882   0.6666   0.5415         -
149  149                 403   0.6035    0.5993   1.1174   0.8839         -
150  150                 401   0.6837    0.6256   0.7216   0.5540         -
151  151                 403   0.8062    0.7785   0.5771   0.4445         -
152  152                 395   0.6131    0.5683   0.6241   0.4868         -
153  153                 403   0.7917    0.8035   0.6461   0.4622         -
154  154                 382   0.6743    0.6277   0.8232   0.6737         -
155  155                 324   0.7795    0.7858   0.6287   0.4940         -
156  156                 382   0.6955    0.6646   1.2822   1.0410         -
157  157                 382   0.6140    0.5884   0.9487   0.7734         -
158  158                 381   0.6386    0.6195   0.8054   0.6459         -
159  159                 401   0.5185    0.5037   1.0279   0.7275         -
160  160                 396   0.7335    0.6850   0.7658   0.5936         -
161  161                 326   0.8486    0.8260   0.5688   0.4266         -
162  162                 403   0.7661    0.7448   0.6934   0.5453         -
163  163                 395   0.6301    0.5787   0.8529   0.7152         -
164  164                 401   0.4422    0.4297   1.1804   0.8964         -
165  165                 324   0.6087    0.5911   0.7494   0.5604         -
166  166                 382   0.5664    0.5176   1.1301   0.9576         -
167  167                 324   0.6757    0.6651   0.6634   0.5261         -
168  168                 324   0.7338    0.7160   0.5787   0.4678         -
169  169                 326   0.7245    0.6696   0.6634   0.5333         -
170  170                 403   0.4829    0.4790   0.9564   0.7120         -
171  171                 382   0.7812    0.7436   0.5077   0.4037         -
172  172                 401   0.7707    0.7314   0.8265   0.6640         -
173  173                 396   0.6457    0.6114   0.9051   0.7106         -
174  174                 322   0.6472    0.6634   2.0974   1.5711         -
175  175                 398   0.3903    0.3341   1.3269   1.1162         -
176  176                 324   0.7149    0.6848   0.6470   0.5394         -
177  177                 401   0.5301    0.5247   1.1673   0.8993         -
178  178                 403   0.7272    0.7192   1.3517   1.1186         -
179  179                 392   0.5896    0.6468   1.0457   0.7326         -
180  180                 382   0.7149    0.6867   0.7341   0.6043         -
181  181                 399   0.7196    0.7215   1.5091   1.1198         -
182  182                 397   0.6741    0.6800   0.8123   0.6214         -
183  183                 401   0.8102    0.8192   0.9457   0.7547         -

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9167, 0.9197]  RMSE=[1.1660, 1.1844]

================================================================================
[Leave-One-Cancer-Out (LOCO)] 共 35 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9182 RMSE=1.1753 Spearman=0.8864 N=66543
  PCC  | mean=0.9194  median=0.9207  weighted_mean=0.9151  std=0.0134
  RMSE | mean=1.1535  median=1.1364  weighted_mean=1.1724

--- 每折明细 ---
fold held_cancer_type                  N      PCC  Spearman     RMSE      MAE
0    AML                            1506   0.9043    0.8836   1.3118   0.8872
1    B-cell_ALL                      679   0.9389    0.9091   1.1171   0.7911
2    CML                             994   0.8936    0.8928   1.3986   0.8998
3    Ewings_Sarcoma                  512   0.9252    0.8891   1.1643   0.8509
4    T-cell_ALL                     1176   0.9246    0.8791   1.1243   0.8434
5    bile_duct                       172   0.9443    0.9165   0.9677   0.7572
6    breast                         6387   0.8968    0.8544   1.2587   0.9348
7    colorectal                     4400   0.9093    0.8786   1.2262   0.9342
8    endometrium                     853   0.9268    0.8913   1.0711   0.7975
9    esophagus                      2468   0.9181    0.8903   1.1364   0.8460
10   glioma                         3628   0.9331    0.8940   1.0821   0.8311
11   kidney                         1793   0.9165    0.8847   1.1728   0.8994
12   leukemia_other                  319   0.9248    0.8886   1.2146   0.8720
13   liver                          1364   0.9066    0.8580   1.1352   0.8660
14   lung_NSC                       7885   0.9228    0.8931   1.1115   0.8371
15   lung_small_cell                5743   0.9131    0.8654   1.1699   0.8889
16   lymphoma_Burkitt                511   0.9328    0.8723   1.1091   0.8468
17   lymphoma_DLBCL                  492   0.9243    0.8650   1.1810   0.8933
18   lymphoma_Hodgkin                170   0.9161    0.8504   1.1046   0.8586
19   lymphoma_other                  763   0.9066    0.8447   1.3123   0.9784
20   medulloblastoma                 340   0.9439    0.9005   1.0160   0.7815
21   melanoma                       4331   0.8984    0.8568   1.2606   0.9247
22   mesothelioma                    642   0.9107    0.8706   1.1866   0.8910
23   multiple_myeloma               1506   0.9011    0.8572   1.3151   0.9586
24   neuroblastoma                  1429   0.9064    0.8800   1.2041   0.8937
25   osteosarcoma                    827   0.9242    0.8814   1.0913   0.8067
26   other                           170   0.9308    0.8864   0.9436   0.6974
27   ovary                          3750   0.9195    0.8887   1.1401   0.8505
28   pancreas                       2945   0.9260    0.8966   1.1058   0.8470
29   prostate                        514   0.9207    0.8699   1.1419   0.8760
30   soft_tissue                    1363   0.9265    0.8954   1.1301   0.8146
31   stomach                        2474   0.8997    0.8671   1.2981   0.9623
32   thyroid                        1185   0.9344    0.8971   1.0649   0.8313
33   upper_aerodigestive            1301   0.9198    0.8840   1.0832   0.7995
34   urinary_tract                  1951   0.9376    0.9053   1.0229   0.7686

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9167, 0.9197]  RMSE=[1.1660, 1.1844]
