================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/arch/B4_dual_encoder/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1513.0s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9482 RMSE=0.9361 Spearman=0.9211 N=66543
  PCC  | mean=0.7784  median=0.7895  weighted_mean=0.7801  std=0.0782
  RMSE | mean=0.9055  median=0.8722  weighted_mean=0.9046
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9134  RMSE=1.0623  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
117  117                 401   0.8370    0.8189   0.8970   0.7081         -
118  118                 324   0.7025    0.7091   1.0665   0.8061         -
119  119                 330   0.7184    0.7081   0.9861   0.7828         -
120  120                 382   0.6506    0.6366   0.8961   0.7225         -
121  121                 382   0.7975    0.7756   0.6107   0.5112         -
122  122                 396   0.7869    0.7546   0.8609   0.6308         -
123  123                 109   0.7516    0.7374   0.9356   0.7641         -
124  124                 398   0.9223    0.9102   0.7628   0.5986         -
125  125                 382   0.7931    0.7854   0.8375   0.6688         -
126  126                 399   0.8522    0.7798   1.0841   0.8028         -
127  127                 399   0.7911    0.7573   0.6763   0.5186         -
128  128                 323   0.8433    0.8261   0.7317   0.5860         -
129  129                 395   0.7206    0.6773   1.1356   0.9152         -
130  130                 324   0.8368    0.8133   0.8854   0.7282         -
131  131                 400   0.7297    0.6977   0.7298   0.5838         -
132  132                 399   0.8315    0.8190   1.1331   0.8865         -
133  133                 382   0.7772    0.7670   0.9495   0.7549         -
134  134                 403   0.7752    0.7411   0.7263   0.5787         -
135  135                 382   0.8404    0.8297   0.8758   0.7068         -
136  136                 324   0.7102    0.7057   1.1140   0.9010         -
137  137                 401   0.8663    0.7378   0.9782   0.6953         -
138  138                 377   0.7563    0.7561   1.6983   1.2130         -
139  139                 396   0.8194    0.8035   0.9213   0.7418         -
140  140                 403   0.8399    0.8375   0.9777   0.7562         -
141  141                 402   0.6184    0.6050   1.1969   0.8948         -
142  142                 403   0.8704    0.8620   0.9034   0.7069         -
143  143                 110   0.6437    0.5465   0.7198   0.5655         -
144  144                 401   0.7418    0.7361   0.9821   0.7596         -
145  145                 382   0.7247    0.7224   1.2277   1.0186         -
146  146                 380   0.7177    0.6859   0.8857   0.6790         -
147  147                  77   0.8404    0.8151   0.4835   0.3590         -
148  148                 401   0.7054    0.6473   0.6277   0.5014         -
149  149                 403   0.7883    0.7719   0.9197   0.7492         -
150  150                 401   0.7402    0.6979   0.6639   0.5176         -
151  151                 403   0.8304    0.8058   0.5539   0.4176         -
152  152                 395   0.6910    0.6652   0.5650   0.4567         -
153  153                 403   0.8151    0.8394   0.6102   0.4345         -
154  154                 382   0.7418    0.6998   0.7318   0.5899         -
155  155                 324   0.7879    0.8042   0.6002   0.4603         -
156  156                 382   0.7676    0.7572   1.1608   0.9561         -
157  157                 382   0.6925    0.6810   0.8615   0.6857         -
158  158                 381   0.7175    0.6995   0.7253   0.5764         -
159  159                 401   0.5886    0.5712   0.9404   0.6847         -
160  160                 396   0.7742    0.7353   0.7056   0.5522         -
161  161                 326   0.8857    0.8815   0.5014   0.3795         -
162  162                 403   0.8189    0.8066   0.6324   0.4989         -
163  163                 395   0.6807    0.6366   0.8321   0.6912         -
164  164                 401   0.8114    0.7760   0.7944   0.6034         -
165  165                 324   0.6642    0.6142   0.6882   0.5393         -
166  166                 382   0.6684    0.6351   1.0332   0.8635         -
167  167                 324   0.7079    0.6992   0.6348   0.4975         -
168  168                 324   0.7569    0.7370   0.5549   0.4442         -
169  169                 326   0.7375    0.6765   0.6920   0.5616         -
170  170                 403   0.7628    0.7100   0.6971   0.5313         -
171  171                 382   0.8097    0.7750   0.4730   0.3576         -
172  172                 401   0.8055    0.7692   0.7546   0.6063         -
173  173                 396   0.6866    0.6515   0.8617   0.6798         -
174  174                 322   0.8150    0.8226   1.6121   1.2811         -
