gdsc_name,cid
LCL161,24737642.0
Lapatinib,208908.0
Luminespib,135539077.0
Alpelisib,56649450.0
Taselisib,51001932.0
EPZ5676,57345410.0
SCH772984,24866313.0
IWP-2,2155128.0
Leflunomide,3899.0
GSK2801,73010930.0
Bromosporine,72943187.0
SGC-CBP30,72201027.0
GSK-LSD1,71522234.0
BDOCA000347a,
BDF00022089a,
BDILV000379a,
Entinostat,4261.0
OSI-027,135398516.0
LGK974,46926973.0
VE-822,59472121.0
WZ4003,72200024.0
CZC24832,42623951.0
AZD5582,49847690.0
GSK2606414,53469448.0
PFI3,78243717.0
PCI-34051,24753719.0
Wnt-C59,57519544.0
I-BET-762,46943432.0
RVX-208,135564749.0
OTX015,9936746.0
GSK343,71268957.0
ML323,60167849.0
Entospletinib,59473233.0
PRT062607,44462758.0
Ribociclib,44631912.0
AGI-6780,71299339.0
Picolinici-acid,
AZD5153,118693659.0
CDK9_5576,
CDK9_5038,
Eg5_9814,
ERK_2440,
ERK_6604,
IRAK4_4710,
JAK1_8709,
AZD5991,131634760.0
PAK_5339,
TAF1_5496,
ULK1_4989,
VSP34_8731,
IGF1R_3801,
JAK_8517,
GSK2256098C,
GSK2276186C,
GSK2110183B,46843056.0
GSK626616AC,
GSK3337463A,
GSK2830371A,
LMB_AB1,
LMB_AB2,
LMB_AB3,
AZD4547,51039095.0
Ibrutinib,24821094.0
Zoledronate,68740.0
Acetalax,8269.0
Topotecan,60700.0
Teniposide,452548.0
Mitoxantrone,4212.0
Dactinomycin,457193.0
Bleomycin,5360373.0
Fludarabine,657237.0
Nelarabine,3011155.0
Dacarbazine,135398738.0
Romidepsin,5352062.0
123829,
765771,
123138,
Podophyllotoxin bromide,234820.0
50869,
Dihydrorotenone,243725.0
720427,
667880,
Gallibiscoquinazole,353472.0
L-Oxonoreleagnine,87371.0
729189,
741909,
743380,
Elephantin,442205.0
150412,
Sinularin,5458571.0
615590,
630600,
LMP744,397888.0
776928,
Schweinfurthin A,643462.0
BEN,2332.0
Sabutoclax,46236925.0
LY2109761,11655119.0
OF-1,35397514.0
MN-64,2802462.0
KRAS (G12C) Inhibitor-12,135148916.0
MG-132,462382.0
BDP-00009066,
Buparlisib,16654980.0
Ulixertinib,11719003.0
Venetoclax,49846579.0
ABT737,11228183.0
Afuresertib,46843057.0
AGI-5198,56645356.0
AZD3759,78209992.0
AZD5363,25227436.0
AZD6738,121596701.0
AZD8186,52913813.0
Osimertinib,71496458.0
Cediranib,9933475.0
Ipatasertib,24788740.0
GDC0810,56941241.0
GNE-317,70676303.0
GSK2578215A,68107965.0
I-BRD9,91668541.0
Telomerase Inhibitor IX,10385095.0
MIRA-1,227681.0
NVP-ADW742,9825149.0
P22077,46931953.0
Savolitinib,68289010.0
UMI-77,992586.0
WIKI4,2984337.0
Sepantronium bromide,11178236.0
MIM1,135691163.0
WEHI-539,71297207.0
BPD-00008900,
N25720-51-A1,
N27922-53-1,
N30652-18-1,
N29087-69-1,
HKMTI-1-005,53315436.0
ICL-SIRT078,45168044.0
UNC0638,46224516.0
AGK2,2130404.0
Foretinib,42642645.0
BIBR-1532,9927531.0
Pyridostatin,25227847.0
AMG-319,68947304.0
MK-8776,46239015.0
Vinorelbine,5311497.0
Mycophenolic acid,446541.0
Remodelin,44442376.0
VX-11e,11634725.0
LJI308,118704762.0
AZ6102,135905416.0
GSK591,117072552.0
VE821,51000408.0
VTP-A,
VTP-B,
PBD-288,
POMHEX,122540908.0
CT7033-2,
GSK-LSD1-2HCl ,91826516.0
5-azacytidine,9444.0
A-366,76285486.0
CPI-637,121271792.0
UNC0379,78357767.0
AZD6482,44137675.0
AT13148,24905401.0
BMS-754807,24785538.0
JQ1,46907787.0
PFI-1,71271629.0
IOX2,54685215.0
CHIR-99021,9956119.0
SGC0946,56962337.0
GSK2830371,70983932.0
THR-101,
THR-102,
THR-103,
ascorbate (vitamin C),54679076.0
glutathione,124886.0
alpha-lipoic acid,864.0
N-acetyl cysteine,12035.0
