dgidb_name,concept_id,cid
BETHANECHOL CHLORIDE,rxcui:47088,
BETHANECHOL CHLORIDE,rxcui:47088,
BETHANECHOL CHLORIDE,rxcui:47088,
BETHANECHOL CHLORIDE,rxcui:47088,
BETHANECHOL CHLORIDE,rxcui:47088,
BETHANECHOL CHLORIDE,rxcui:47088,
BETHANECHOL CHLORIDE,rxcui:47088,
BETHANECHOL CHLORIDE,rxcui:47088,
BETHANECHOL CHLORIDE,rxcui:47088,
BETHANECHOL CHLORIDE,rxcui:47088,
METHACHOLINE CHLORIDE,rxcui:40165,
METHACHOLINE CHLORIDE,rxcui:40165,
METHACHOLINE CHLORIDE,rxcui:40165,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
FESOTERODINE,rxcui:797195,
CYCLOPENTOLATE HYDROCHLORIDE,rxcui:106029,
CYCLOPENTOLATE HYDROCHLORIDE,rxcui:106029,
CYCLOPENTOLATE HYDROCHLORIDE,rxcui:106029,
CYCLOPENTOLATE HYDROCHLORIDE,rxcui:106029,
CYCLOPENTOLATE HYDROCHLORIDE,rxcui:106029,
CYCLOPENTOLATE HYDROCHLORIDE,rxcui:106029,
CYCLOPENTOLATE HYDROCHLORIDE,rxcui:106029,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
PILOCARPINE HYDROCHLORIDE,rxcui:235426,
