================================================================================
Phase 6 Generalization Report | model=cdr_baseline
ckpt: data/model/cdr_baseline/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 3.3s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9332 RMSE=1.0606 Spearman=0.9027 N=66543
  PCC  | mean=0.7078  median=0.7191  weighted_mean=0.7078  std=0.1010
  RMSE | mean=1.0150  median=0.9869  weighted_mean=1.0173
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9161  RMSE=1.0467  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
117  117                 401   0.6867    0.6542   1.0471   0.8293         -
118  118                 324   0.6083    0.6084   1.1474   0.8961         -
119  119                 330   0.6506    0.6258   1.0636   0.8364         -
120  120                 382   0.4172    0.3752   1.0610   0.8524         -
121  121                 382   0.7816    0.7528   0.6058   0.4598         -
122  122                 396   0.6782    0.6692   1.0275   0.7936         -
123  123                 109   0.6932    0.6382   0.9898   0.8371         -
124  124                 398   0.8226    0.7930   1.1169   0.8868         -
125  125                 382   0.7091    0.6952   0.9471   0.7672         -
126  126                 399   0.6317    0.6896   1.4818   0.9997         -
127  127                 399   0.7708    0.7281   0.7297   0.5735         -
128  128                 323   0.8146    0.7984   0.7814   0.5979         -
129  129                 395   0.6766    0.6386   1.1954   0.9515         -
130  130                 324   0.6926    0.6773   1.1026   0.9037         -
131  131                 400   0.6992    0.6632   0.7455   0.5969         -
132  132                 399   0.7589    0.7567   1.2777   0.9919         -
133  133                 382   0.7522    0.7621   1.0421   0.7716         -
134  134                 403   0.7425    0.6765   0.7823   0.6315         -
135  135                 382   0.7263    0.6967   1.0743   0.8528         -
136  136                 324   0.5799    0.5663   1.2275   0.9702         -
137  137                 401   0.7225    0.6710   1.3268   0.9352         -
138  138                 377   0.4931    0.5252   2.1140   1.4814         -
139  139                 396   0.7807    0.7637   0.9834   0.7688         -
140  140                 403   0.6987    0.6961   1.1992   0.9281         -
141  141                 402   0.5305    0.4983   1.2563   0.9600         -
142  142                 403   0.7083    0.6873   1.1718   0.9399         -
143  143                 110   0.5945    0.4959   0.7882   0.6361         -
144  144                 401   0.6144    0.5941   1.1037   0.8591         -
145  145                 382   0.6355    0.6271   1.3566   1.1516         -
146  146                 380   0.7003    0.6635   0.9054   0.6933         -
147  147                  77   0.7793    0.7295   0.6181   0.4770         -
148  148                 401   0.6737    0.6076   0.6950   0.5488         -
149  149                 403   0.6200    0.6233   1.1071   0.8689         -
150  150                 401   0.6918    0.6187   0.7072   0.5265         -
151  151                 403   0.8147    0.7906   0.6274   0.4735         -
152  152                 395   0.5397    0.4811   0.7306   0.5582         -
153  153                 403   0.7876    0.8115   0.6620   0.4468         -
154  154                 382   0.7185    0.6734   0.7730   0.6169         -
155  155                 324   0.7679    0.7759   0.6556   0.4865         -
156  156                 382   0.7157    0.6918   1.2250   1.0103         -
157  157                 382   0.6279    0.6072   0.9269   0.7456         -
158  158                 381   0.6933    0.6807   0.7607   0.6130         -
159  159                 401   0.5532    0.5257   0.9993   0.7106         -
160  160                 396   0.7369    0.6877   0.7737   0.5884         -
161  161                 326   0.8748    0.8360   0.5121   0.3817         -
162  162                 403   0.7641    0.7483   0.6921   0.5537         -
163  163                 395   0.6652    0.6210   0.8370   0.6818         -
164  164                 401   0.6321    0.6131   1.0189   0.7838         -
165  165                 324   0.6283    0.5725   0.7284   0.5751         -
166  166                 382   0.5810    0.5368   1.1116   0.9158         -
167  167                 324   0.6627    0.6628   0.6919   0.5431         -
168  168                 324   0.7390    0.7105   0.6317   0.5256         -
169  169                 326   0.7349    0.6791   0.6853   0.5384         -
170  170                 403   0.6354    0.5860   0.8342   0.6468         -
171  171                 382   0.7812    0.7489   0.5915   0.4410         -
172  172                 401   0.7764    0.7291   0.7779   0.6213         -
173  173                 396   0.6827    0.6461   0.9229   0.7120         -
174  174                 322   0.7591    0.7884   1.7550   1.3193         -
175  175                 398   0.4079    0.3457   1.3493   1.1067         -
176  176                 324   0.7184    0.6726   0.7078   0.5562         -
177  177                 401   0.5676    0.5557   1.1323   0.8515         -
178  178                 403   0.7606    0.7439   1.3021   0.9739         -
179  179                 392   0.6104    0.6830   1.0332   0.7047         -
180  180                 382   0.7238    0.6946   0.7181   0.5803         -
181  181                 399   0.8314    0.7962   1.2009   0.9353         -
182  182                 397   0.6855    0.6791   0.8171   0.6389         -
183  183                 401   0.8043    0.8151   0.9300   0.7494         -

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9318, 0.9346]  RMSE=[1.0514, 1.0693]

================================================================================
[Leave-One-Cancer-Out (LOCO)] 共 35 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9332 RMSE=1.0606 Spearman=0.9027 N=66543
  PCC  | mean=0.9340  median=0.9358  weighted_mean=0.9308  std=0.0129
  RMSE | mean=1.0417  median=1.0257  weighted_mean=1.0578

--- 每折明细 ---
