================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/gdgn/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 2353.8s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9100 RMSE=1.2260 Spearman=0.8799 N=66543
  PCC  | mean=0.6505  median=0.6675  weighted_mean=0.6481  std=0.1213
  RMSE | mean=1.1506  median=1.0962  weighted_mean=1.1517
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8612  RMSE=1.6558  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
125  125                 382   0.6844    0.6580   0.9948   0.8155         -
126  126                 399   0.4546    0.5528   1.7627   1.1074         -
127  127                 399   0.7898    0.7533   0.7281   0.5341         -
128  128                 323   0.8101    0.7994   0.9311   0.7069         -
129  129                 395   0.6628    0.6138   1.2509   1.0174         -
130  130                 324   0.6238    0.6192   1.2026   0.9852         -
131  131                 400   0.6925    0.6456   0.7716   0.6079         -
132  132                 399   0.7121    0.7011   1.4465   1.1644         -
133  133                 382   0.7217    0.7334   0.9743   0.7097         -
134  134                 403   0.6343    0.5632   0.8978   0.7213         -
135  135                 382   0.6964    0.6537   1.1928   0.9709         -
136  136                 324   0.5053    0.4953   1.3099   1.0337         -
137  137                 401   0.6519    0.6277   1.5188   0.9263         -
138  138                 377   0.4355    0.4689   2.2499   1.5636         -
139  139                 396   0.7454    0.7197   1.0671   0.8658         -
140  140                 403   0.5186    0.5187   1.4312   1.1066         -
141  141                 402   0.5037    0.4696   1.2968   0.9687         -
142  142                 403   0.6187    0.6035   1.3263   1.0612         -
143  143                 110   0.5872    0.4833   0.7703   0.6059         -
144  144                 401   0.4403    0.4060   1.2845   1.0187         -
145  145                 382   0.6068    0.5965   1.4406   1.2841         -
146  146                 380   0.7025    0.6670   0.9586   0.7440         -
147  147                  77   0.7993    0.7434   0.6339   0.5166         -
148  148                 401   0.6484    0.5784   0.7430   0.5912         -
149  149                 403   0.5807    0.5740   1.1590   0.9070         -
150  150                 401   0.6890    0.6361   0.7391   0.5518         -
151  151                 403   0.7981    0.7754   0.6667   0.5046         -
152  152                 395   0.6048    0.5652   0.7059   0.5450         -
153  153                 403   0.7889    0.7976   0.6708   0.4668         -
154  154                 382   0.6689    0.6185   0.8411   0.6861         -
155  155                 324   0.7832    0.7855   0.6805   0.4845         -
156  156                 382   0.6988    0.6713   1.3390   1.0938         -
157  157                 382   0.5860    0.5651   0.9790   0.7972         -
