================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/ablation/01_main/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 2397.1s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9218 RMSE=1.1535 Spearman=0.8899 N=66543
  PCC  | mean=0.6775  median=0.6922  weighted_mean=0.6758  std=0.1104
  RMSE | mean=1.0880  median=1.0698  weighted_mean=1.0944
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8838  RMSE=1.2256  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
181  181                 399   0.7404    0.7336   1.4511   1.0897         -
182  182                 397   0.6766    0.6863   0.8556   0.6370         -
183  183                 401   0.8128    0.8175   0.9307   0.7380         -

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9203, 0.9232]  RMSE=[1.1447, 1.1622]

================================================================================
[Leave-One-Cancer-Out (LOCO)] 共 35 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9218 RMSE=1.1535 Spearman=0.8899 N=66543
  PCC  | mean=0.9227  median=0.9242  weighted_mean=0.9189  std=0.0131
  RMSE | mean=1.1325  median=1.1165  weighted_mean=1.1508

--- 每折明细 ---
fold held_cancer_type                  N      PCC  Spearman     RMSE      MAE
0    AML                            1506   0.9077    0.8872   1.2613   0.8599
1    B-cell_ALL                      679   0.9478    0.9206   1.0270   0.7455
2    CML                             994   0.8948    0.8946   1.3780   0.8870
3    Ewings_Sarcoma                  512   0.9339    0.8978   1.0984   0.8139
4    T-cell_ALL                     1176   0.9295    0.8862   1.0961   0.8208
5    bile_duct                       172   0.9445    0.9195   0.9987   0.7560
6    breast                         6387   0.9036    0.8641   1.2278   0.9243
7    colorectal                     4400   0.9133    0.8803   1.2036   0.9240
8    endometrium                     853   0.9289    0.8946   1.0632   0.7969
9    esophagus                      2468   0.9218    0.8952   1.1229   0.8389
10   glioma                         3628   0.9350    0.8967   1.0786   0.8320
11   kidney                         1793   0.9205    0.8879   1.1473   0.8842
12   leukemia_other                  319   0.9253    0.8942   1.1811   0.8597
13   liver                          1364   0.9093    0.8618   1.1123   0.8540
14   lung_NSC                       7885   0.9254    0.8956   1.1016   0.8330
15   lung_small_cell                5743   0.9211    0.8787   1.1165   0.8506
16   lymphoma_Burkitt                511   0.9347    0.8738   1.0993   0.8353
17   lymphoma_DLBCL                  492   0.9284    0.8726   1.1602   0.8887
18   lymphoma_Hodgkin                170   0.9220    0.8561   1.0536   0.8131
19   lymphoma_other                  763   0.9042    0.8429   1.3037   0.9700
20   medulloblastoma                 340   0.9433    0.8990   1.0239   0.7879
21   melanoma                       4331   0.9003    0.8554   1.2500   0.9197
22   mesothelioma                    642   0.9122    0.8734   1.1823   0.8957
23   multiple_myeloma               1506   0.9066    0.8661   1.2835   0.9505
24   neuroblastoma                  1429   0.9142    0.8845   1.1539   0.8653
25   osteosarcoma                    827   0.9319    0.8955   1.0398   0.7895
26   other                           170   0.9305    0.8871   0.9492   0.7033
27   ovary                          3750   0.9220    0.8890   1.1311   0.8528
28   pancreas                       2945   0.9279    0.8968   1.0977   0.8500
29   prostate                        514   0.9242    0.8740   1.1409   0.8905
30   soft_tissue                    1363   0.9285    0.8949   1.1202   0.8259
31   stomach                        2474   0.9037    0.8714   1.2696   0.9480
32   thyroid                        1185   0.9344    0.8916   1.0801   0.8489
33   upper_aerodigestive            1301   0.9223    0.8861   1.0695   0.7903
34   urinary_tract                  1951   0.9392    0.9055   1.0154   0.7704

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9203, 0.9232]  RMSE=[1.1447, 1.1622]
