================================================================================
Phase 6 Generalization Report | model=gdgn
ckpt: data/model/arch/B1_bypass_residual/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 1512.4s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9310 RMSE=1.0709 Spearman=0.8991 N=66543
  PCC  | mean=0.7111  median=0.7282  weighted_mean=0.7109  std=0.0889
  RMSE | mean=1.0248  median=0.9848  weighted_mean=1.0274
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.8910  RMSE=1.1901  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
108  108                 380   0.6937    0.6955   1.3468   1.0048         -
109  109                 403   0.7694    0.7801   0.8806   0.7018         -
110  110                 403   0.8282    0.7977   1.1350   0.8820         -
111  111                 396   0.6968    0.6499   1.1856   0.9825         -
112  112                 382   0.7977    0.7728   0.9313   0.7398         -
113  113                 404   0.7671    0.7605   1.0192   0.7999         -
114  114                 403   0.6865    0.5768   1.4284   1.0792         -
115  115                 382   0.7679    0.7701   1.1013   0.8823         -
116  116                 385   0.7386    0.7043   0.7714   0.5980         -
117  117                 401   0.6951    0.6701   1.0836   0.8577         -
118  118                 324   0.6443    0.6484   1.1340   0.8569         -
119  119                 330   0.6466    0.6252   1.0620   0.8489         -
120  120                 382   0.5183    0.5211   1.0099   0.7994         -
121  121                 382   0.7681    0.7527   0.6353   0.5182         -
122  122                 396   0.7137    0.6780   0.9804   0.7234         -
123  123                 109   0.7359    0.7009   0.9932   0.8147         -
124  124                 398   0.8482    0.8060   1.1089   0.8738         -
125  125                 382   0.7252    0.7139   0.9361   0.7646         -
126  126                 399   0.7170    0.7177   1.3926   1.0420         -
127  127                 399   0.7625    0.7305   0.7075   0.5426         -
128  128                 323   0.8204    0.8120   0.8275   0.6859         -
129  129                 395   0.6751    0.6343   1.2042   0.9830         -
130  130                 324   0.7150    0.7113   1.1112   0.9358         -
131  131                 400   0.6839    0.6796   0.7779   0.6177         -
132  132                 399   0.7345    0.7199   1.3633   1.0745         -
133  133                 382   0.7397    0.7416   0.9510   0.7108         -
134  134                 403   0.6725    0.6510   0.8648   0.6841         -
135  135                 382   0.7286    0.7150   1.1108   0.8784         -
136  136                 324   0.5659    0.5690   1.2460   0.9941         -
137  137                 401   0.7793    0.7075   1.2470   0.8222         -
138  138                 377   0.5041    0.5238   2.0944   1.4861         -
139  139                 396   0.7677    0.7527   1.0286   0.8377         -
140  140                 403   0.7322    0.7370   1.2049   0.9407         -
141  141                 402   0.5597    0.5482   1.2581   0.9275         -
142  142                 403   0.7216    0.7072   1.1929   0.9651         -
143  143                 110   0.5992    0.4907   0.7752   0.6268         -
144  144                 401   0.6234    0.6302   1.1451   0.8894         -
145  145                 382   0.6389    0.6284   1.3584   1.1520         -
146  146                 380   0.6813    0.6714   0.9554   0.7277         -
147  147                  77   0.7508    0.6659   0.6552   0.5407         -
148  148                 401   0.6461    0.6214   0.6798   0.5386         -
149  149                 403   0.6816    0.6690   1.0758   0.8864         -
150  150                 401   0.7009    0.6398   0.7220   0.5485         -
151  151                 403   0.7995    0.7974   0.6039   0.4707         -
152  152                 395   0.6441    0.6068   0.6175   0.4993         -
153  153                 403   0.7905    0.8145   0.6621   0.4772         -
154  154                 382   0.6746    0.6610   0.8274   0.6715         -
155  155                 324   0.7234    0.7604   0.6870   0.4923         -
156  156                 382   0.7084    0.6840   1.2607   1.0404         -
157  157                 382   0.6359    0.6349   0.9301   0.7473         -
158  158                 381   0.6507    0.6357   0.7905   0.6281         -
159  159                 401   0.5746    0.5663   0.9691   0.7105         -
160  160                 396   0.7279    0.6889   0.7664   0.5993         -
161  161                 326   0.8482    0.8523   0.5640   0.4160         -
162  162                 403   0.7901    0.7816   0.6657   0.5261         -
163  163                 395   0.5634    0.5466   0.9080   0.7472         -
164  164                 401   0.6577    0.6374   1.0360   0.7843         -
165  165                 324   0.6586    0.6354   0.6997   0.5556         -
166  166                 382   0.6003    0.5791   1.1007   0.9278         -
167  167                 324   0.6533    0.6491   0.7044   0.5715         -
168  168                 324   0.7447    0.7331   0.5723   0.4594         -
169  169                 326   0.7114    0.6637   0.7504   0.6033         -
170  170                 403   0.6042    0.5812   0.8643   0.6611         -
171  171                 382   0.7381    0.7335   0.5483   0.4301         -
172  172                 401   0.7729    0.7410   0.7944   0.6430         -
173  173                 396   0.6452    0.6286   0.9093   0.7160         -
174  174                 322   0.7503    0.7770   1.8204   1.4153         -
175  175                 398   0.4497    0.3858   1.2938   1.0769         -
176  176                 324   0.7082    0.6937   0.6904   0.5728         -
177  177                 401   0.5854    0.5691   1.1236   0.8529         -
178  178                 403   0.7515    0.7452   1.1880   0.9194         -
179  179                 392   0.7352    0.7759   0.9145   0.6335         -
180  180                 382   0.7301    0.7121   0.7287   0.6069         -
181  181                 399   0.7656    0.7571   1.4304   1.0819         -
182  182                 397   0.6566    0.6777   0.8481   0.6438         -
183  183                 401   0.8047    0.8175   0.9788   0.7792         -

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9296, 0.9323]  RMSE=[1.0626, 1.0790]

================================================================================
[Leave-One-Cancer-Out (LOCO)] 共 35 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9310 RMSE=1.0709 Spearman=0.8991 N=66543
  PCC  | mean=0.9323  median=0.9322  weighted_mean=0.9287  std=0.0116
  RMSE | mean=1.0467  median=1.0419  weighted_mean=1.0686

--- 每折明细 ---
fold held_cancer_type                  N      PCC  Spearman     RMSE      MAE
0    AML                            1506   0.9252    0.9058   1.1524   0.7927
1    B-cell_ALL                      679   0.9506    0.9223   0.9678   0.6988
2    CML                             994   0.9118    0.9100   1.2691   0.8064
3    Ewings_Sarcoma                  512   0.9389    0.9030   1.0419   0.7541
4    T-cell_ALL                     1176   0.9403    0.9029   0.9897   0.7394
5    bile_duct                       172   0.9461    0.9209   0.9560   0.7235
6    breast                         6387   0.9158    0.8793   1.1407   0.8562
7    colorectal                     4400   0.9228    0.8904   1.1266   0.8595
8    endometrium                     853   0.9352    0.8997   0.9957   0.7465
9    esophagus                      2468   0.9322    0.9046   1.0325   0.7762
10   glioma                         3628   0.9426    0.9024   0.9937   0.7679
11   kidney                         1793   0.9283    0.8979   1.0809   0.8326
12   leukemia_other                  319   0.9320    0.9047   1.1538   0.8239
13   liver                          1364   0.9173    0.8666   1.0624   0.8188
14   lung_NSC                       7885   0.9306    0.8998   1.0483   0.7895
15   lung_small_cell                5743   0.9240    0.8789   1.0782   0.8176
16   lymphoma_Burkitt                511   0.9458    0.8951   0.9516   0.7116
17   lymphoma_DLBCL                  492   0.9459    0.8994   0.9758   0.7449
18   lymphoma_Hodgkin                170   0.9330    0.8704   0.9804   0.7766
19   lymphoma_other                  763   0.9170    0.8544   1.2052   0.8798
20   medulloblastoma                 340   0.9627    0.9225   0.8214   0.6298
21   melanoma                       4331   0.9278    0.8875   1.0701   0.8139
22   mesothelioma                    642   0.9204    0.8791   1.1231   0.8518
23   multiple_myeloma               1506   0.9205    0.8810   1.1614   0.8400
24   neuroblastoma                  1429   0.9186    0.8862   1.1176   0.8332
25   osteosarcoma                    827   0.9373    0.9001   0.9865   0.7423
26   other                           170   0.9358    0.8898   0.8950   0.6722
27   ovary                          3750   0.9314    0.9001   1.0489   0.7867
28   pancreas                       2945   0.9368    0.9066   1.0252   0.7950
29   prostate                        514   0.9342    0.8833   1.0364   0.8101
30   soft_tissue                    1363   0.9342    0.9035   1.0510   0.7519
31   stomach                        2474   0.9140    0.8807   1.1936   0.8914
32   thyroid                        1185   0.9447    0.9067   0.9797   0.7811
33   upper_aerodigestive            1301   0.9303    0.8927   0.9968   0.7488
34   urinary_tract                  1951   0.9477    0.9122   0.9250   0.7056

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9296, 0.9323]  RMSE=[1.0626, 1.0790]
