Name,CCLE_ID,depMapID,GDSC_CELL_LINE_NAME
HDQ-P1,HDQP1_BREAST,ACH-000643,HDQ-P1
HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000004,HEL
HGC-27,HGC27_STOMACH,ACH-000847,HGC-27
HH,HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000061,HH
HOP-62,HOP62_LUNG,ACH-000861,HOP-62
HPAC,HPAC_PANCREAS,ACH-000270,HPAC
HSC-3,HSC3_UPPER_AERODIGESTIVE_TRACT,ACH-000778,HSC-3
HT,HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000914,HT
HT-1080,HT1080_SOFT_TISSUE,ACH-000054,HT-1080
HT-1197,HT1197_URINARY_TRACT,ACH-000547,HT-1197
HT-144,HT144_SKIN,ACH-000322,HT-144
HT115,HT115_LARGE_INTESTINE,ACH-000986,HT-115
HUP-T3,HUPT3_PANCREAS,ACH-000118,HuP-T3
Hs 578T,HS578T_BREAST,ACH-000148,Hs-578-T
Hs 746T,HS746T_STOMACH,ACH-000616,Hs-746T
Hs 939.T,HS939T_SKIN,ACH-000814,Hs-939-T
HuCCT1,HUCCT1_BILIARY_TRACT,ACH-000976,HuCCT1
HuH-7,HUH7_LIVER,ACH-000480,HuH-7
IGR-1,IGR1_SKIN,ACH-000882,IGR-1
IGROV1,IGROV1_OVARY,ACH-000966,IGROV-1
IPC-298,IPC298_SKIN,ACH-000915,IPC-298
JHH-4,JHH4_LIVER,ACH-000476,JHH-4
JHOS-2,JHOS2_OVARY,ACH-000132,JHOS-2
JM1,JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000151,JM1
JURKAT,JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000995,Jurkat
JURL-MK1,JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000326,JURL-MK1
K-562,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000551,K-562
KALS-1,KALS1_CENTRAL_NERVOUS_SYSTEM,ACH-000231,KALS-1
KARPAS-422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000315,KARPAS-422
KATO III,KATOIII_STOMACH,ACH-000793,KATOIII
KCL-22,KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000983,KCL-22
KM12,KM12_LARGE_INTESTINE,ACH-000969,KM12
KMRC-1,KMRC1_KIDNEY,ACH-000684,KMRC-1
KMRC-20,KMRC20_KIDNEY,ACH-000250,KMRC-20
KMS-11,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000714,KMS-11
KNS-62,KNS62_LUNG,ACH-000858,KNS-62
KNS-81,KNS81_CENTRAL_NERVOUS_SYSTEM,ACH-000479,KNS-81-FD
KOPN-8,KOPN8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-001106,KOPN-8
KP-N-RT-BM-1,KPNRTBM1_AUTONOMIC_GANGLIA,ACH-000345,KP-N-RT-BM-1
KP-N-YN,KPNYN_AUTONOMIC_GANGLIA,ACH-000227,KP-N-YN
KU-19-19,KU1919_URINARY_TRACT,ACH-000486,KU-19-19
KU812,KU812_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000074,KU812
KYM-1,KYM1_SOFT_TISSUE,ACH-000607,KYM-1
KYSE-150,KYSE150_OESOPHAGUS,ACH-000855,KYSE-150
KYSE-180,KYSE180_OESOPHAGUS,ACH-000693,KYSE-180
KYSE-520,KYSE520_OESOPHAGUS,ACH-000637,KYSE-520
KYSE-70,KYSE70_OESOPHAGUS,ACH-000784,KYSE-70
L-363,L363_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000183,L-363
L-428,L428_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000754,L-428
LAMA-84,LAMA84_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000301,LAMA-84
LCLC-103H,LCLC103H_LUNG,ACH-000627,LCLC-103H
LCLC-97TM1,LCLC97TM1_LUNG,ACH-000596,LCLC-97TM1
LN-229,LN229_CENTRAL_NERVOUS_SYSTEM,ACH-000595,LN-229
LOX IMVI,LOXIMVI_SKIN,ACH-000750,LOXIMVI
LP-1,LP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000204,LP-1
LS 180,LS180_LARGE_INTESTINE,ACH-000957,LS-180
LS411N,LS411N_LARGE_INTESTINE,ACH-000985,LS-411N
LS513,LS513_LARGE_INTESTINE,ACH-000007,LS-513
LU65,LU65_LUNG,ACH-000438,LU-65
LU99,LU99_LUNG,ACH-000444,LU-99A
LoVo,LOVO_LARGE_INTESTINE,ACH-000950,LoVo
Loucy,LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000104,LOUCY
MCF7,MCF7_BREAST,ACH-000019,MCF7
MDA-MB-157,MDAMB157_BREAST,ACH-000621,MDA-MB-157
MDA-MB-175-VII,MDAMB175VII_BREAST,ACH-000759,MDA-MB-175-VII
MDA-MB-231,MDAMB231_BREAST,ACH-000768,MDA-MB-231
MDA-MB-361,MDAMB361_BREAST,ACH-000934,MDA-MB-361
MDA-MB-436,MDAMB436_BREAST,ACH-000573,MDA-MB-436
MDA-MB-453,MDAMB453_BREAST,ACH-000910,MDA-MB-453
MDA-MB-468,MDAMB468_BREAST,ACH-000849,MDA-MB-468
MDST8,MDST8_LARGE_INTESTINE,ACH-000935,MDST8
ME-1,ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000439,ME-1
MEL-HO,MELHO_SKIN,ACH-000450,MEL-HO
MEL-JUSO,MELJUSO_SKIN,ACH-000881,MEL-JUSO
MFE-296,MFE296_ENDOMETRIUM,ACH-000879,MFE-296
MG-63,MG63_BONE,ACH-000359,MG-63
MHH-NB-11,MHHNB11_AUTONOMIC_GANGLIA,ACH-000078,MHH-NB-11
MKN-45,MKN45_STOMACH,ACH-000356,MKN45
MKN1,MKN1_STOMACH,ACH-000351,MKN1
MKN7,MKN7_STOMACH,ACH-000678,MKN7
MM1-S,MM1S_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000763,MM1S
MOLM-13,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000362,MOLM-13
MSTO-211H,MSTO211H_PLEURA,ACH-000335,MSTO-211H
NALM-6,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000938,NALM-6
NAMALWA,NAMALWA_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000944,NAMALWA
NB-1,NB1_AUTONOMIC_GANGLIA,ACH-000804,NB10
NCI-H1048,NCIH1048_LUNG,ACH-000866,NCI-H1048
NCI-H1092,NCIH1092_LUNG,ACH-000514,NCI-H1092
NCI-H1105,NCIH1105_LUNG,ACH-000780,NCI-H1105
NCI-H1341,NCIH1341_LUNG,ACH-000129,NCI-H1341
NCI-H1435,NCIH1435_LUNG,ACH-000852,NCI-H1435
NCI-H1436,NCIH1436_LUNG,ACH-000830,NCI-H1436
NCI-H1437,NCIH1437_LUNG,ACH-000589,NCI-H1437
NCI-H146,NCIH146_LUNG,ACH-000506,NCI-H146
NCI-H1568,NCIH1568_LUNG,ACH-000869,NCI-H1568
NCI-H1648,NCIH1648_LUNG,ACH-000766,NCI-H1648
NCI-H1650,NCIH1650_LUNG,ACH-000035,NCI-H1650
NCI-H1792,NCIH1792_LUNG,ACH-000496,NCI-H1792
