================================================================================
Phase 6 Generalization Report | model=baseline_simple
ckpt: data/model/baseline/best_model.pt
kinds evaluated: ['lodo', 'lco']
total inference time (full-pool): 37.4s
================================================================================

[Note] 数据泄漏口径说明:
  - 这是 Phase 6 真泛化口径: 每折留出一个未见药物 (LODO) 或未见癌症类型 (LOCO).
  - 与 Phase 4 final_eval_report.txt 中 paired random split 不同:
    Phase 4 的 cell/drug 同时出现在 train/val/test, 评估已见 cell/drug 新组合.
  - 本评估**纯推理**, 不重训; 用 Phase 4 已训 ckpt 直接在留出集上算指标.
  - 若 LODO/LOCO PCC 显著低于 Phase 4 paired-split PCC, 说明模型对未见 cell/drug
    的泛化能力有限 (这正是 GDGN 图架构应优于 baseline 的口径).

================================================================================
[Leave-One-Drug-Out (LODO)] 共 184 折
================================================================================
--- 汇总 ---
  pooled (全 test 拼起来评估): PCC=0.9575 RMSE=0.8526 Spearman=0.9349 N=66543
  PCC  | mean=0.8154  median=0.8200  weighted_mean=0.8166  std=0.0688
  RMSE | mean=0.8335  median=0.8099  weighted_mean=0.8322
  7 无 DTI 药物 folds (跨折 pooled): PCC=0.9291  RMSE=0.9637  N=2220  across 7 folds

--- 每折明细 ---
fold held_drug_idx         N      PCC  Spearman     RMSE      MAE    no_dti
15   lung_small_cell                5743   0.9561    0.9223   0.8365   0.6447
16   lymphoma_Burkitt                511   0.9672    0.9351   0.7354   0.5685
17   lymphoma_DLBCL                  492   0.9653    0.9372   0.7598   0.5903
18   lymphoma_Hodgkin                170   0.9635    0.9237   0.7420   0.5860
19   lymphoma_other                  763   0.9479    0.9065   0.9314   0.6790
20   medulloblastoma                 340   0.9744    0.9434   0.6897   0.5313
21   melanoma                       4331   0.9552    0.9241   0.8502   0.6526
22   mesothelioma                    642   0.9545    0.9192   0.8859   0.6823
23   multiple_myeloma               1506   0.9508    0.9212   0.8993   0.6651
24   neuroblastoma                  1429   0.9549    0.9320   0.8473   0.6522
25   osteosarcoma                    827   0.9578    0.9298   0.8208   0.6207
26   other                           170   0.9662    0.9260   0.6622   0.5204
27   ovary                          3750   0.9581    0.9349   0.8395   0.6371
28   pancreas                       2945   0.9572    0.9326   0.8555   0.6663
29   prostate                        514   0.9653    0.9328   0.7841   0.6060
30   soft_tissue                    1363   0.9573    0.9297   0.8542   0.6351
31   stomach                        2474   0.9424    0.9203   0.9803   0.7391
32   thyroid                        1185   0.9635    0.9358   0.8038   0.6248
33   upper_aerodigestive            1301   0.9586    0.9328   0.7961   0.6087
34   urinary_tract                  1951   0.9670    0.9411   0.7516   0.5843

  Pooled 95% CI bootstrap (n=1000): PCC=[0.9566, 0.9583]  RMSE=[0.8457, 0.8596]
